id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,rfdsd
SvB_BS_124,Helgonet,Carin Gerhardsen,F,CRIME,dash,392449,504690,430736,281351,399952,241943,352290,382997,181337,264310,343206
SvB_BS_126,Felicia försvann,Felicia Feldt,F,OTHER,dash,49652,115786,162607,113255,53148,110724,94590,101866,138564,41126,98130
SvB_BS_127,Den tomma stolen,J.K. Rowling ,F,OTHER,quot,131115,148803,175088,169769,224009,246274,257839,269343,232915,179727,203488
SvB_BS_129,Vattenänglar,Mons Kallentoft,M,CRIME,quot,78870,228863,249133,205756,133704,254175,236845,238210,282008,101985,200954
SvB_BS_130,Livet efter dig,Jojo Moyes,F,ROMANCE,quot,396209,346744,326499,373424,302737,296191,305996,324612,288410,247405,320823
SvB_BS_131,Inferno,Dan Brown,M,CRIME,quot,177403,215983,260788,215358,205337,326963,237857,328492,239455,366574,257420
SvB_BS_132,Little Bee,Chris Cleave,M,OTHER,quot,72031,172874,431758,112273,307224,493757,367022,680824,285989,262860,318663
SvB_BS_133,Den sanna historien om Pinocchios näsa : en roman om ett brott,Leif G.W. Persson,M,CRIME,dash,406933,432165,377216,340169,530845,420415,476180,433184,342151,330652,408991
SvB_BS_134,Analfabeten som kunde räkna,Jonas Jonasson,M,OTHER,dash,114000,86640,125073,167265,129342,114776,124187,108869,132143,145352,124765
SvB_BS_135,Innan floden tar oss,Helena Thorfinn,F,OTHER,quot,204917,358503,310347,402404,330474,254559,310145,326084,246522,331577,307553
SvB_BS_136,Mellan rött och svart,Jan Guillou,M,OTHER,quot,59482,215825,185994,248568,121237,176808,132879,367531,176262,184009,186859
SvB_BS_137,Paradisoffer,Kristina Ohlsson,F,CRIME,dash,253696,338035,401459,349742,360409,381615,364821,436284,325778,275805,348765
SvB_BS_138,Du går inte ensam,Mari Jungstedt,F,CRIME,dash,116654,245499,168792,181920,266692,219992,356152,225806,480120,82896,234452
SvB_BS_139,Lyckliga gatan,Liza Marklund,F,CRIME,dash,220118,303000,271151,357108,240069,316035,369897,347147,386252,145862,295666
SvB_BS_140,När skönheten kom till Bro,Anna Jansson,F,CRIME,quot,162765,411158,400485,295816,345949,535597,446938,407884,365191,374333,374612
SvB_BS_141,Polis,Jo Nesbø,M,CRIME,quot,226434,390226,279048,440834,448857,319361,500669,425191,204372,195895,343090
SvB_BS_142,För mycket lycka,Alice Munro,F,PRESTIGE,quot,148079,141552,150898,245197,188805,200955,67920,70620,170215,149756,153400
SvB_BS_143,Kaffe med rån,Catharina Ingelman-Sundberg,F,CRIME,quot,216346,350325,298531,256252,383993,196233,344472,285015,354901,357386,304344
SvB_BS_144,I farans riktning,Viveca Sten,F,CRIME,quot,128216,352604,395938,156130,324271,408125,311843,310208,412083,164167,296355
SvB_BS_145,Min mormor hälsar och säger förlåt,Fredrik Backman,M,OTHER,dash,123818,118163,51317,226705,231938,303174,208558,203916,273970,308575,205014
