id,title,all_authors,author_gender,translation,publisher,publication_date,subset,award,category,orthography
SvB_BS_273,1793,Niklas Natt och Dag,M,no,Bonnier Audio,2018-03-27,bestseller,,CRIME,quot
SvB_BS_274,Den lilla bokhandeln runt hörnet,Jenny Colgan,F,transl,Norstedts,2017-06-22,bestseller,,ROMANCE,quot
SvB_BS_275,Silvervägen,Stina Jackson,F,no,Bonnier Audio,2018-05-22,bestseller,,CRIME,dash
SvB_BS_276,Bara ett barn,Malin Persson Giolito,F,no,Bonnier Audio,2017-12-05,bestseller,,CRIME,quot
SvB_BS_277,Ensam i Paris (och andra historier),Jojo Moyes,F,transl,Printz Publishing,2017-12-13,bestseller,,ROMANCE,quot
SvB_BS_278,Husdjuret,Camilla Grebe,F,no,Bonnier Audio,2017-09-14,bestseller,,CRIME,dash
SvB_BS_279,Den tyska flickan,Armando Lucas Correa,M,transl,Louise Bäckelin Förlag,2020-02-05,bestseller,,OTHER,quot
SvB_BS_280,Strandcaféet,Lucy Diamond,F,transl,Storyside,2017-08-24,bestseller,,ROMANCE,quot
SvB_BS_281,Kvinnan i fönstret,A.J. Finn,M,transl,Bonnier Audio,2018-04-10,bestseller,,CRIME,quot
SvB_BS_282,Blodlokan,Louise Boije af Gennäs,F,no,Stockholm Text,2018-01-16,bestseller,,CRIME,quot
SvB_BS_283,Syndafloder,Kristina Ohlsson,F,no,Piratförlaget,2017-03-09,bestseller,,CRIME,dash
SvB_BS_284,Höstdåd,Anders de la Motte,M,no,Forum,2017,bestseller,,CRIME,quot
SvB_BS_285,Pappas pojke,Emelie Schepp,F,no,HarperCollins Nordic,2017-08-21,bestseller,,CRIME,dash
SvB_BS_286,Hon som måste dö,David Lagercrantz,M,no,Norstedts,2019-08-22,bestseller,,CRIME,quot
SvB_BS_287,En bur av guld,Camilla Läckberg,F,no,Bonnier Audio,2019-04-11,bestseller,,CRIME,quot
SvB_BS_288,1794,Niklas Natt och Dag,M,no,Bonnier Audio,2019-09-18,bestseller,,CRIME,quot
SvB_BS_289,Den andra dödssynden,Jan Guillou,M,no,Piratförlaget,2019-08-29,bestseller,,OTHER,quot
SvB_BS_290,Jag ser dig,Mari Jungstedt,F,no,Bonnier Audio,2019-06-04,bestseller,,CRIME,dash
SvB_BS_291,Kniv,Jo Nesbø,M,transl,Bonnier Audio,2019-06-26,bestseller,,CRIME,quot
