id,title,all_authors,author_gender,category,orthography,rfdsd,mninsl,wc
SvB_BS_092,Niceville,Kathryn Stockett,F,OTHER,quot,281277,11.059005472281704,165250
SvB_BS_093,"Du gamla, du fria",Liza Marklund,F,CRIME,dash,285543,9.868194842406877,96490
SvB_BS_094,Pansarhjärta,Jo Nesbø,M,CRIME,quot,428289,12.809923130677848,171202
SvB_BS_095,Det fjärde offret,Mari Jungstedt,F,CRIME,dash,282908,13.852805280528052,74183
SvB_BS_096,Drömmen förde dej vilse,Anna Jansson,F,CRIME,quot,369165,19.789135514018692,91772
SvB_BS_098,Det fördolda,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,dash,211776,10.384267971396312,130284
SvB_BS_099,Huvudjägarna,Jo Nesbø,M,CRIME,quot,272314,12.096560846560847,67165
SvB_BS_101,Sankta Psyko,Johan Theorin,M,CRIME,quot,216283,7.244540039708802,101224
SvB_BS_102,Tusenskönor,Kristina Ohlsson,F,CRIME,dash,342146,11.597782258064516,100878
SvB_BS_103,I grunden utan skuld,Viveca Sten,F,CRIME,quot,224962,11.156884256719692,90411
SvB_BS_104,I natt är du död,Viveca Sten,F,CRIME,quot,307224,10.226947941476693,97834
SvB_BS_105,Den femte årstiden,Mons Kallentoft,M,CRIME,quot,185562,10.877138413685847,113073
SvB_BS_106,Utrensning,Sofi Oksanen,F,PRESTIGE,dash,94214,9.552757793764988,84563
SvB_BS_107,Ensamma hjärtan och hemlösa hundar,Lucy Dillon,F,ROMANCE,quot,367188,13.5129111171514,135391
SvB_BS_108,Strindbergs stjärna,Jan Wallentin,M,CRIME,dash,194627,12.381917808219178,116104
SvB_BS_109,Sandmannen,Lars Kepler,2,CRIME,dash,224232,8.062330623306233,106140
SvB_BS_110,Änglavakter,Kristina Ohlsson,F,CRIME,dash,342201,11.141338695777076,113334
SvB_BS_111,Någonstans inom oss,Kajsa Ingemarsson,F,ROMANCE,quot,357637,13.089176829268293,96036
SvB_BS_112,Torka aldrig tårar utan handskar: 1. Kärleken,Jonas Gardell,M,OTHER,quot,106667,8.733242134062927,59850
SvB_BS_114,Dandy,Jan Guillou,M,OTHER,quot,136856,15.582677165354331,101223
SvB_BS_115,Den sista akten,Mari Jungstedt,F,CRIME,dash,276566,12.930775018811136,62137
SvB_BS_117,Två soldater,Roslund & Hellström,M,CRIME,dash,167463,8.186788154897494,150230
SvB_BS_118,Lärjungen,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,dash,164593,8.065700185070943,158871
SvB_BS_119,I stundens hetta,Viveca Sten,F,CRIME,quot,287195,9.344947735191637,93386
SvB_BS_120,Till offer åt Molok,Åsa Larsson,F,CRIME,dash,292242,10.98356286095069,84601
SvB_BS_121,Gengångare,Jo Nesbø,M,CRIME,quot,304215,10.343165657097709,129096
SvB_BS_122,En man som heter Ove,Fredrik Backman,M,OTHER,dash,124230,8.075017692852088,91846
SvB_BS_123,Fjällgraven,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,dash,162930,8.181950509461426,137998
SvB_BS_124,Helgonet,Carin Gerhardsen,F,CRIME,dash,343206,12.094067796610169,83163
SvB_BS_126,Felicia försvann,Felicia Feldt,F,OTHER,dash,98130,10.071428571428571,31611
SvB_BS_127,Den tomma stolen,J.K. Rowling ,F,OTHER,quot,203488,8.613089005235603,161690
SvB_BS_129,Vattenänglar,Mons Kallentoft,M,CRIME,quot,200954,10.123280423280423,95211
SvB_BS_130,Livet efter dig,Jojo Moyes,F,ROMANCE,quot,320823,11.322736905843174,116572
SvB_BS_131,Inferno,Dan Brown,M,CRIME,quot,257420,11.490074441687344,143905
SvB_BS_132,Little Bee,Chris Cleave,M,OTHER,quot,318663,15.560708702449192,93707
SvB_BS_133,Den sanna historien om Pinocchios näsa : en roman om ett brott,Leif G.W. Persson,M,CRIME,dash,408991,14.468937875751504,176532
SvB_BS_134,Analfabeten som kunde räkna,Jonas Jonasson,M,OTHER,dash,124765,9.441262848751835,103066
SvB_BS_135,Innan floden tar oss,Helena Thorfinn,F,OTHER,quot,307553,19.385270327799063,148059
SvB_BS_136,Mellan rött och svart,Jan Guillou,M,OTHER,quot,186859,16.35748407643312,109949
SvB_BS_137,Paradisoffer,Kristina Ohlsson,F,CRIME,dash,348765,12.553221288515406,102797
SvB_BS_138,Du går inte ensam,Mari Jungstedt,F,CRIME,dash,234452,11.553604436229206,53320
SvB_BS_139,Lyckliga gatan,Liza Marklund,F,CRIME,dash,295666,9.97221070095396,81318
SvB_BS_140,När skönheten kom till Bro,Anna Jansson,F,CRIME,quot,374612,18.362663495838287,82448
SvB_BS_141,Polis,Jo Nesbø,M,CRIME,quot,343090,11.79475982532751,149579
SvB_BS_142,För mycket lycka,Alice Munro,F,PRESTIGE,quot,153400,10.657287157287158,96291
SvB_BS_143,Kaffe med rån,Catharina Ingelman-Sundberg,F,CRIME,quot,304344,11.136292834890966,93966
