id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,rfdsd
SvB_BS_249,Mannen som sökte sin skugga,David Lagercrantz,M,CRIME,quot,78697,104868,290447,409224,155564,553441,461018,408126,545937,292879,29283,82540,216142,533675,480600,264641,206076,230417,138909,174263,282838
SvB_BS_250,Begynnelse,Dan Brown,M,CRIME,quot,232849,487064,379125,396512,295203,377671,370203,236628,307894,334012,203634,267335,439099,243895,191307,300581,393169,483937,444331,338421,336144
SvB_BS_251,Häxan,Camilla Läckberg,F,CRIME,quot,231439,287908,208863,355606,428488,443021,352084,299159,275093,276952,329551,339855,327333,349442,396204,462780,427998,441792,379671,276463,344486
SvB_BS_252,Det förlorade barnet,Elena Ferrante,F,PRESTIGE,quot,135946,162851,158453,167507,168413,228431,127684,204501,220411,145518,233476,206830,227526,136869,145001,221705,196223,250808,281982,90815,185549
SvB_BS_253,"Den som stannar, den som går",Elena Ferrante,F,OTHER,quot,69453,165402,69909,159453,164064,218355,318013,278298,198275,386435,88935,76305,165254,190242,187119,246765,217760,173286,189499,233378,189808
SvB_BS_254,Top dogg,Jens Lapidus,M,CRIME,quot,191549,364260,253848,374055,288833,404282,441366,196753,362161,270641,209628,282396,488105,230619,425833,292191,373216,275399,300028,202911,311403
SvB_BS_255,Törst,Jo Nesbø,M,CRIME,quot,222428,417020,283309,587487,398250,344512,617791,550106,664325,405885,499867,385921,473754,430465,296925,432189,574099,533210,601405,303858,451140
SvB_BS_256,Never let me go,Kazuo Ishiguro,M,PRESTIGE,quot,128157,301926,80124,86560,79934,162526,86560,352247,132091,190309,213709,333126,431352,243529,160870,409609,178919,508696,652102,225720,247901
SvB_BS_257,Det förlovade landet,Mari Jungstedt,F,CRIME,dash,52334,25937,58477,340486,243103,199717,353926,253950,188871,246168,199434,314784,301580,264796,232021,184390,243810,125678,273049,187692,214508
SvB_BS_258,Selfies,Jussi Adler-Olsen,M,CRIME,quot,288056,294007,312954,216743,401451,219565,470572,510750,271530,384037,512900,427842,525729,494356,462241,638672,165525,342247,403924,494625,391884
